Time, Half, Event, Player1, Player2,GAME TIME, XPos, YPos
00:00.0, 0, Throw Off, 23 Leos Petrovsky,  ,00:00.0, 0.49, 0.17
00:00.5, 0, Player Catch, 19 Tomas Babak,  ,00:00.5, -1.28, -1.40
00:01.2, 0, Pass, 19 Tomas Babak,  ,00:01.2, -0.59, -1.45
00:01.8, 0, Player Catch, 13 Pavel Horak,  ,00:01.8, 1.06, -6.09
00:03.2, 0, Pass, 13 Pavel Horak,  ,00:03.2, 3.68, -6.26
00:03.8, 0, Player Catch, 2 Jakub Hrstka,  ,00:03.8, 5.55, -8.96
00:05.5, 0, Pass, 2 Jakub Hrstka,  ,00:05.5, 8.01, -8.89
00:06.3, 0, Player Catch, 13 Pavel Horak,  ,00:06.3, 8.59, -7.51
00:07.6, 0, Pass, 13 Pavel Horak,  ,00:07.6, 9.80, -7.20
00:08.4, 0, Player Catch, 19 Tomas Babak,  ,00:08.4, 5.53, 0.13
00:09.3, 0, Pass, 19 Tomas Babak,  ,00:09.3, 5.75, 1.10
00:09.8, 0, Player Catch, 22 Petr Linhart,  ,00:09.8, 7.15, 7.24
00:11.2, 0, Pass, 22 Petr Linhart,  ,00:11.2, 8.11, 7.77
00:11.7, 0, Player Catch, 5 Miroslav Jurka,  ,00:11.7, 11.59, 8.66
00:12.7, 0, Pass, 5 Miroslav Jurka,  ,00:12.7, 12.35, 9.09
00:13.1, 0, Player Catch, 22 Petr Linhart,  ,00:13.1, 10.26, 8.24
00:13.9, 0, Pass, 22 Petr Linhart,  ,00:13.9, 10.39, 7.64
00:14.5, 0, Player Catch, 19 Tomas Babak,  ,00:14.5, 7.43, -0.40
00:15.0, 0, Pass, 19 Tomas Babak,  ,00:15.0, 7.19, -1.47
00:15.7, 0, Player Catch, 13 Pavel Horak,  ,00:15.7, 12.02, -8.90
00:16.7, 0, Pass, 13 Pavel Horak,  ,00:16.7, 12.57, -9.13
00:17.3, 0, Player Catch, 19 Tomas Babak,  ,00:17.3, 7.16, -1.63
00:18.0, 0, Pass, 19 Tomas Babak,  ,00:18.0, 7.54, -0.46
00:18.5, 0, Player Catch, 22 Petr Linhart,  ,00:18.5, 9.28, 8.28
00:18.9, 0, Pass, 22 Petr Linhart,  ,00:18.9, 9.34, 8.02
00:19.4, 0, Player Catch, 19 Tomas Babak,  ,00:19.4, 7.40, 0.08
00:19.9, 0, Pass, 19 Tomas Babak,  ,00:19.9, 7.12, -1.29
00:20.5, 0, Player Catch, 13 Pavel Horak,  ,00:20.5, 10.20, -9.16
00:21.0, 0, Pass, 13 Pavel Horak,  ,00:21.0, 10.88, -8.99
00:21.4, 0, Player Catch, 2 Jakub Hrstka,  ,00:21.4, 13.75, -9.32
00:22.1, 0, Pass, 2 Jakub Hrstka,  ,00:22.1, 14.46, -9.56
00:22.6, 0, Player Catch, 19 Tomas Babak,  ,00:22.6, 11.02, -7.32
00:23.3, 0, Pass, 19 Tomas Babak,  ,00:23.3, 11.80, -4.92
00:23.8, 0, Player Catch, 13 Pavel Horak,  ,00:23.8, 9.01, -0.29
00:24.7, 0, Pass, 13 Pavel Horak,  ,00:24.7, 11.38, 2.02
00:25.2, 0, Player Catch, 5 Miroslav Jurka,  ,00:25.2, 9.91, 3.98
00:26.2, 0, Pass, 5 Miroslav Jurka,  ,00:26.2, 12.14, 0.54
00:26.6, 0, Player Catch, 22 Petr Linhart,  ,00:26.6, 9.52, -3.54
00:27.0, 0, Pass, 22 Petr Linhart,  ,00:27.0, 10.80, -4.11
00:27.5, 0, Player Catch, 19 Tomas Babak,  ,00:27.5, 11.32, -8.52
00:28.6, 0, Pass, 19 Tomas Babak,  ,00:28.6, 12.58, -5.95
00:28.9, 0, Player Catch, 22 Petr Linhart,  ,00:28.9, 10.09, -1.59
00:31.0, 0, Shot, 22 Petr Linhart,  ,00:31.0, 12.32, 3.24
00:31.5, 0, Goalkeeper Save, 16 Thierry Omeyer,  ,00:31.5, 19.26, 0.22
00:32.4, 0, Goalkeeper Pick-up, 16 Thierry Omeyer,  ,00:32.4, 19.17, 0.03
00:33.8, 0, Goalkeeper Throw, 16 Thierry Omeyer,  ,00:33.8, 17.99, -0.19
00:34.5, 0, Player Catch, 13 Nikola Karabatic,  ,00:34.5, 9.58, 1.24
00:35.4, 0, Pass, 13 Nikola Karabatic,  ,00:35.4, 5.30, 0.78
00:36.3, 0, Player Catch, 4 Xavier Barachet,  ,00:36.3, -1.31, -8.06
00:37.1, 0, Pass, 4 Xavier Barachet,  ,00:37.1, -3.59, -7.45
00:37.9, 0, Player Catch, 13 Nikola Karabatic,  ,00:37.9, -2.57, 2.04
00:38.8, 0, Pass, 13 Nikola Karabatic,  ,00:38.8, -4.48, 4.49
00:39.5, 0, Player Catch, 21 Michael Guigou,  ,00:39.5, -10.93, 9.32
00:40.6, 0, Pass, 21 Michael Guigou,  ,00:40.6, -12.42, 8.37
00:41.3, 0, Player Catch, 13 Nikola Karabatic,  ,00:41.3, -7.94, 4.33
00:42.4, 0, Tackle, 13 Nikola Karabatic, 22 Petr Linhart,00:42.4, -8.90, 0.90
00:43.3, 0, Pass, 13 Nikola Karabatic,  ,00:43.3, -9.86, -1.74
00:44.2, 0, Pick Up, 4 Xavier Barachet,  ,00:44.2, -11.16, -7.29
00:46.3, 0, Pass, 4 Xavier Barachet,  ,00:46.3, -11.80, -6.89
00:46.8, 0, Player Catch, 13 Nikola Karabatic,  ,00:46.8, -9.35, -2.62
00:50.1, 0, Substitution, 22 Petr Linhart, 42 Jakub Szymanski,00:50.1, -4.70, 6.86
00:50.3, 0, Pass, 13 Nikola Karabatic,  ,00:50.3, -8.46, 0.11
00:50.5, 0, Substitution, 22 Luka Karabatic, 18 William Accambray,00:50.5, 2.65, 9.51
00:50.8, 0, Player Catch, 21 Michael Guigou,  ,00:50.8, -8.49, 4.63
00:51.9, 0, Pass, 21 Michael Guigou,  ,00:51.9, -10.82, 3.13
00:52.3, 0, Player Catch, 13 Nikola Karabatic,  ,00:52.3, -9.12, -1.06
00:53.1, 0, Pass, 13 Nikola Karabatic,  ,00:53.1, -11.24, -3.19
00:53.4, 0, Player Catch, 4 Xavier Barachet,  ,00:53.4, -12.32, -7.05
