Time,Half,XPos,YPos
0.0,First Half,1336,-391
0.1,First Half,1331,-391
0.2,First Half,1327,-391
0.3,First Half,1322,-391
0.4,First Half,1317,-391
0.5,First Half,1316,-390
0.6,First Half,1314,-389
0.7,First Half,1312,-388
0.8,First Half,1311,-386
0.9,First Half,1311,-384
1.0,First Half,1311,-382
1.1,First Half,1311,-380
1.2,First Half,1311,-377
1.3,First Half,1312,-373
1.4,First Half,1312,-370
1.5,First Half,1313,-366
1.6,First Half,1313,-361
1.7,First Half,1313,-357
1.8,First Half,1313,-353
1.9,First Half,1313,-349
2.0,First Half,1313,-345
2.1,First Half,1313,-342
2.2,First Half,1312,-339
2.3,First Half,1311,-337
2.4,First Half,1310,-336
2.5,First Half,1310,-337
2.6,First Half,1309,-340
2.7,First Half,1308,-346
2.8,First Half,1308,-354
2.9,First Half,1307,-364
3.0,First Half,1307,-375
3.1,First Half,1307,-386
3.2,First Half,1307,-397
3.3,First Half,1307,-408
3.4,First Half,1307,-418
3.5,First Half,1307,-428
3.6,First Half,1307,-437
3.7,First Half,1307,-446
3.8,First Half,1306,-454
3.9,First Half,1305,-461
4.0,First Half,1304,-468
4.1,First Half,1303,-474
4.2,First Half,1303,-479
4.3,First Half,1302,-485
4.4,First Half,1302,-490
4.5,First Half,1301,-494
4.6,First Half,1300,-499
4.7,First Half,1299,-503
4.8,First Half,1298,-508
4.9,First Half,1296,-512
5.0,First Half,1294,-518
5.1,First Half,1292,-525
5.2,First Half,1290,-532
5.3,First Half,1288,-539
5.4,First Half,1287,-546
5.5,First Half,1286,-552
5.6,First Half,1284,-557
5.7,First Half,1283,-560
5.8,First Half,1282,-562
5.9,First Half,1281,-563
6.0,First Half,1280,-563
6.1,First Half,1280,-561
6.2,First Half,1280,-558
6.3,First Half,1280,-554
6.4,First Half,1281,-548
6.5,First Half,1283,-542
6.6,First Half,1284,-536
6.7,First Half,1285,-530
6.8,First Half,1286,-524
6.9,First Half,1287,-519
7.0,First Half,1287,-514
7.1,First Half,1287,-511
7.2,First Half,1287,-507
7.3,First Half,1288,-505
7.4,First Half,1288,-503
7.5,First Half,1288,-501
7.6,First Half,1288,-500
7.7,First Half,1287,-499
7.8,First Half,1286,-499
7.9,First Half,1285,-498
8.0,First Half,1283,-499
8.1,First Half,1281,-499
8.2,First Half,1278,-500
8.3,First Half,1275,-500
8.4,First Half,1272,-501
8.5,First Half,1269,-502
8.6,First Half,1265,-502
8.7,First Half,1260,-503
8.8,First Half,1258,-503
8.9,First Half,1258,-502
9.0,First Half,1262,-500
9.1,First Half,1268,-497
9.2,First Half,1276,-492
9.3,First Half,1286,-484
9.4,First Half,1295,-476
9.5,First Half,1302,-466
9.6,First Half,1307,-456
9.7,First Half,1311,-446
9.8,First Half,1314,-436
9.9,First Half,1316,-428
10.0,First Half,1317,-419
10.1,First Half,1318,-410
10.2,First Half,1320,-401
10.3,First Half,1321,-391
10.4,First Half,1323,-380
10.5,First Half,1325,-368
10.6,First Half,1327,-356
10.7,First Half,1329,-343
10.8,First Half,1331,-330
10.9,First Half,1332,-318
11.0,First Half,1333,-307
11.1,First Half,1333,-297
11.2,First Half,1332,-288
11.3,First Half,1330,-279
11.4,First Half,1327,-272
11.5,First Half,1325,-265
11.6,First Half,1322,-259
11.7,First Half,1319,-253
11.8,First Half,1316,-249
11.9,First Half,1313,-245
12.0,First Half,1310,-242
12.1,First Half,1307,-241
12.2,First Half,1305,-240
12.3,First Half,1304,-241
12.4,First Half,1304,-244
12.5,First Half,1305,-247
12.6,First Half,1306,-252
12.7,First Half,1308,-257
12.8,First Half,1309,-262
12.9,First Half,1311,-268
13.0,First Half,1313,-274
13.1,First Half,1315,-281
13.2,First Half,1317,-289
13.3,First Half,1320,-297
13.4,First Half,1324,-306
13.5,First Half,1326,-315
13.6,First Half,1329,-323
13.7,First Half,1330,-330
13.8,First Half,1330,-336
13.9,First Half,1330,-340
14.0,First Half,1328,-344
14.1,First Half,1327,-347
14.2,First Half,1325,-351
14.3,First Half,1323,-355
14.4,First Half,1321,-359
14.5,First Half,1319,-364
14.6,First Half,1318,-369
14.7,First Half,1316,-375
14.8,First Half,1314,-381
14.9,First Half,1312,-388
15.0,First Half,1311,-395
15.1,First Half,1309,-404
15.2,First Half,1307,-414
15.3,First Half,1304,-426
15.4,First Half,1302,-440
15.5,First Half,1301,-454
15.6,First Half,1302,-470
15.7,First Half,1305,-486
15.8,First Half,1310,-501
15.9,First Half,1316,-515
16.0,First Half,1324,-526
16.1,First Half,1331,-536
16.2,First Half,1337,-545
16.3,First Half,1342,-551
16.4,First Half,1346,-555
16.5,First Half,1349,-559
16.6,First Half,1351,-560
16.7,First Half,1353,-560
16.8,First Half,1353,-558
16.9,First Half,1353,-554
17.0,First Half,1351,-549
17.1,First Half,1349,-541
17.2,First Half,1346,-533
17.3,First Half,1344,-524
17.4,First Half,1341,-516
17.5,First Half,1339,-507
17.6,First Half,1336,-499
17.7,First Half,1334,-491
17.8,First Half,1333,-484
17.9,First Half,1331,-477
18.0,First Half,1327,-467
18.1,First Half,1321,-454
18.2,First Half,1311,-437
18.3,First Half,1298,-416
